Intercity Trains (Meter Gauge & Dual Gauge) ,,,,,,,
SL no,Train no ,Name of Trains ,Off-day ,Starting station ,,Arrival station & Arrival time ,
38,,,,,Purbo ,,
,Mymensingh express ,No ,B.B Setu ,0:45,Chittagong ,20:40,
39,,,Purbo ,,,,
40,Isakhan express ,No ,Dhaka ,11:35,Mymensingh ,21:45,
41,Isakhan express ,No ,Mymensingh ,12:00,Dhaka ,23:30,
,Kanchan express ,No ,Parbatipur ,8:00,Thakurgaon ,12:30,
42,,,,,Road ,,
,Kanchan express ,No ,Thakurgaon ,14:00,Parbatipur ,18:00,
43,,,Road ,,,,
44,Mahua express ,No ,Dhaka ,8:15,Mohanganj ,14:40,
45,Mahua express ,No ,Mohanganj ,15:00,Dhaka ,21:30,
46,Samatat express ,No ,Noakhali ,8:00,Laksam ,9:45,
47,Samatat express ,No ,Laksam ,18:00,Noakhali ,20:00,
,Dewanganj Comuter ,No ,Dhaka ,5:40,Dewanganj ,11:45,
48,,,,,Bazar ,,
,Dewanganj Comuter ,No ,Dewanganj ,13:00,Dhaka ,19:10,
49,,,Bazar ,,,,
,Balaka Comuter ,No ,Dhaka ,4:40,Jharia ,10:00,
50,,,,,Jhangail ,,
,Balaka Comuter ,No ,Jharia ,12:00,Dhaka ,17:30,
51,,,Jhangail ,,,,
,Jamalpur comuter ,No ,Dhaka ,15:40,Dewangonj ,22:15,
52,,,,,Bazar ,,
,Jamalpur comuter ,No ,Dewangonj ,5:00,Dhaka ,11:10,
55,,,Bazar ,,,,
,Vawall express ,No ,Dhaka ,21:20,Dewangong ,5:45,
56,,,,,Bazar ,,
,Vawal express ,No ,Dewangong ,2:00,Dhaka ,11:45,
59,,,Bazar ,,,,
60,Ramsagor express ,No ,Bonarpara ,6:30,Dinajpur ,14:00,
61,Ramsagor express ,No ,Dinajpur ,14:40,Bonarpara ,21:00,
62,Dinajpur Comuter ,No ,Lalmonirha ,6:30,Berol ,10:50,
63,Dinajpur Comuter ,No ,Berol ,11:10,Lalmonirhat ,15:00,
64,Lalmoni Comuter ,No ,Lalmonirha ,12:50,Parbotipur ,15:20,
65,Lalmoni Comuter ,No ,Parbotipur ,5:30,Lalmonirhat ,7:40,
66,Burimari Comuter-1 ,No ,Lalmonirha ,8:00,Burimari ,10:10,
67,Burimari Comuter-2 ,No ,Burimari ,10:30,Lalmonirhat ,12:40,
68,Chattala Express ,Tuesday ,Chittagong ,8:15,Dhaka ,15:45,
69,Chattala Express ,Tuesday ,Dhaka ,13:00,Chittagong ,21:00,
70,Parbotipur Comuter ,No ,Lalmonirha ,21:45,Parbotipur ,0:00,
71,Parbotipur Comuter ,No ,Parbotipur ,19:10,Lalmonirhat ,21:25,
72,Burimari Comuter-3 ,No ,Lalmonirha ,15:10,Burimari ,17:20,
75,Burimari Comuter-4 ,No ,Burimari ,22:50,Lalmonirhat ,1:00,
,Dholesssory Express ,No ,Mymensing,11:45,B.B Setu ,15:50,
76,,,h ,,East ,,
79,Dholesssory Express ,No ,B.B Setu ,17:50,Mymensingh ,23:00,
80,Laksam Comuter ,Friday ,Chittagong ,17:30,Comilla ,21:05,
81,Laksam Comuter ,Saturday ,Comilla ,5:00,Chittagong ,8:40,
82,Chandpur Comuter ,Friday ,Chandpur ,9:30,Comilla ,12:35,
83,Chandpur Comuter ,Friday ,Laksam ,7:10,Chandpur ,9:15,
83,Chandpur Comuter ,Friday ,Chandpur ,16:30,Comilla ,19:40,
Down ,Chandpur Comuter ,Friday ,Comilla ,19:50,Laksam ,20:30,
84,,,,,,,
85,Chandpur Comuter ,Friday ,Comilla ,12:45,Chandpur ,16:10,
86 Up ,Noakhali Comuter ,Friday ,Noakhali ,11:50,Comilla ,14:00,
86,Noakhali Comuter ,Friday ,Laksam ,7:50,Comilla ,8:35,
87,Noakhali Comuter ,Friday ,Comilla ,8:45,Noakhali ,11:35,
